id,last_page,gender,age,main_mode,travel_time,priv_avail,carpool_avail,walk_avail,transit_avail,taxi_avail,moto_avail,no_second_mode,status,yr_stud,yr_emp,st_drive,st_drive_gen,st_pass,st_pass_gen,st_n_pass,st_n pass_gen,emp_drive,emp_drive_gen,emp_pass,emp_pass_gen,S1,S2,S3,S4,CHOICE1,CHOICE2,CHOICE3,CHOICE4
470,13,1,62,1,15,1,0,0,0,0,0,1,4,-1,4,-1,-1,-1,-1,-1,-1,5,3,5,1,5,3,5,1,3,2,3,1
472,13,1,58,1,25,1,1,0,0,0,0,0,3,-1,4,-1,-1,-1,-1,-1,-1,1,5,1,5,1,5,1,5,1,3,1,3
473,13,1,46,1,40,1,0,0,0,0,0,1,3,-1,4,-1,-1,-1,-1,-1,-1,5,1,5,1,5,1,5,1,3,1,3,1
475,13,2,18,4,10,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,5,3,-1,-1,-1,-1,-1,-1,5,3,-1,-1,3,2
476,13,1,64,1,45,1,0,0,0,0,0,1,4,-1,4,-1,-1,-1,-1,-1,-1,2,4,3,4,2,4,3,4,1,3,2,3
479,13,1,27,1,45,1,1,0,0,0,0,0,2,6,-1,3,4,4,2,-1,-1,-1,-1,-1,-1,3,4,4,2,2,3,3,1
480,13,2,20,1,35,1,1,0,0,0,0,0,1,3,-1,4,1,4,2,-1,-1,-1,-1,-1,-1,4,1,4,2,3,1,3,1
482,13,1,19,1,5,1,0,1,0,0,0,0,1,2,-1,3,2,3,2,-1,-1,-1,-1,-1,-1,3,2,3,2,2,1,2,1
484,13,1,34,1,25,1,0,0,0,0,0,1,3,-1,2,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3,3,3,2,2,2,2
485,13,1,19,1,30,1,1,0,0,0,0,0,1,2,-1,3,3,4,3,-1,-1,-1,-1,-1,-1,3,3,4,3,2,2,3,2
486,13,1,22,1,8,1,0,1,0,1,0,0,1,5,-1,1,3,3,3,-1,-1,-1,-1,-1,-1,1,3,3,3,1,2,2,2
488,13,1,41,1,15,1,1,0,0,0,0,0,4,-1,2,-1,-1,-1,-1,-1,-1,2,4,2,5,2,4,2,5,1,3,1,3
489,13,1,21,1,6,1,0,1,0,0,0,0,2,1,-1,3,3,5,2,-1,-1,-1,-1,-1,-1,3,3,5,2,2,2,3,1
490,13,1,51,1,12,1,1,0,0,0,0,0,3,-1,4,-1,-1,-1,-1,-1,-1,4,2,4,2,4,2,4,2,3,1,3,1
491,13,2,24,1,40,1,0,0,0,0,0,1,1,6,-1,5,3,5,3,-1,-1,-1,-1,-1,-1,5,3,5,3,3,2,3,2
495,13,1,25,1,20,1,0,0,0,0,0,1,1,4,-1,2,3,3,3,-1,-1,-1,-1,-1,-1,2,3,3,3,1,2,2,2
497,13,1,20,4,13,1,0,0,0,0,0,0,1,3,-1,-1,-1,-1,-1,1,4,-1,-1,-1,-1,-1,-1,1,4,-1,-1,1,3
498,13,2,18,1,35,1,1,0,0,0,0,0,1,1,-1,3,2,2,2,-1,-1,-1,-1,-1,-1,3,2,2,2,2,1,1,1
500,13,1,31,1,40,1,0,0,0,0,0,1,2,6,-1,4,2,4,2,-1,-1,-1,-1,-1,-1,4,2,4,2,3,1,3,1
501,13,1,19,1,5,1,0,1,0,0,0,0,1,2,-1,4,1,3,3,-1,-1,-1,-1,-1,-1,4,1,3,3,3,1,2,2
503,13,1,20,1,5,1,1,1,0,0,0,0,1,3,-1,2,3,3,4,-1,-1,-1,-1,-1,-1,2,3,3,4,1,2,2,3
504,9,1,20,1,20,1,1,0,0,0,0,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
506,13,1,25,4,10,1,0,0,0,0,0,0,2,2,-1,-1,-1,-1,-1,4,1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,3,1
507,13,2,19,1,10,1,0,1,0,0,0,0,1,2,-1,2,2,3,2,-1,-1,-1,-1,-1,-1,2,2,3,2,1,1,2,1
509,13,1,19,1,7,1,1,0,0,0,0,0,1,2,-1,3,2,4,3,-1,-1,-1,-1,-1,-1,3,2,4,3,2,1,3,2
510,13,2,21,1,60,1,1,0,0,0,0,0,1,4,-1,5,3,5,3,-1,-1,-1,-1,-1,-1,5,3,5,3,3,2,3,2
511,12,1,18,1,45,1,1,0,0,0,0,0,1,1,-1,4,1,5,1,-1,-1,-1,-1,-1,-1,4,1,5,1,3,1,3,1
512,13,2,18,4,25,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,3,4,-1,-1,-1,-1,-1,-1,3,4,-1,-1,2,3
513,13,1,27,2,10,0,0,1,0,0,0,0,2,3,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1
514,13,2,29,1,5,1,0,0,0,0,0,1,2,3,-1,5,4,3,3,-1,-1,-1,-1,-1,-1,5,4,3,3,3,3,2,2
515,13,2,20,1,18,1,1,1,0,0,0,0,1,3,-1,4,3,5,3,-1,-1,-1,-1,-1,-1,4,3,5,3,3,2,3,2
516,13,2,20,1,25,1,0,0,0,0,0,1,1,3,-1,3,2,3,1,-1,-1,-1,-1,-1,-1,3,2,3,1,2,1,2,1
521,13,2,18,1,35,1,1,0,0,0,0,0,1,1,-1,3,3,4,3,-1,-1,-1,-1,-1,-1,3,3,4,3,2,2,3,2
522,13,1,33,1,50,1,0,0,0,0,0,1,3,-1,3,-1,-1,-1,-1,-1,-1,1,3,3,3,1,3,3,3,1,2,2,2
523,13,2,20,4,15,1,1,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,-1,-1,2,2
524,13,1,45,1,30,1,0,0,0,0,0,1,4,-1,1,-1,-1,-1,-1,-1,-1,5,5,5,5,5,5,5,5,3,3,3,3
526,13,2,38,1,15,1,1,0,1,1,0,0,4,-1,3,-1,-1,-1,-1,-1,-1,2,3,3,3,2,3,3,3,1,2,2,2
527,13,1,18,2,70,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,3,4,-1,-1,-1,-1,-1,-1,3,4,-1,-1,2,3
529,13,1,33,1,25,1,0,0,0,0,0,1,3,-1,3,-1,-1,-1,-1,-1,-1,5,1,5,1,5,1,5,1,3,1,3,1
530,13,1,19,1,15,1,0,0,0,0,0,1,1,2,-1,3,4,2,3,-1,-1,-1,-1,-1,-1,3,4,2,3,2,3,1,2
531,13,1,22,1,50,1,1,0,0,0,0,0,1,5,-1,2,2,4,1,-1,-1,-1,-1,-1,-1,2,2,4,1,1,1,3,1
532,13,2,25,1,5,1,0,0,0,0,0,1,2,2,-1,3,5,3,5,-1,-1,-1,-1,-1,-1,3,5,3,5,2,3,2,3
534,13,1,50,1,60,1,0,0,0,0,0,1,4,-1,3,-1,-1,-1,-1,-1,-1,4,1,4,1,4,1,4,1,3,1,3,1
535,13,1,19,1,10,1,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
540,13,1,23,1,3,1,0,0,0,0,0,1,1,6,-1,2,3,3,3,-1,-1,-1,-1,-1,-1,2,3,3,3,1,2,2,2
541,11,1,35,1,30,1,1,0,0,0,0,0,3,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
544,13,1,64,1,30,1,1,0,0,1,0,0,3,-1,4,-1,-1,-1,-1,-1,-1,4,1,2,1,4,1,2,1,3,1,1,1
545,13,2,23,4,15,1,0,0,0,0,0,0,1,6,-1,-1,-1,-1,-1,5,4,-1,-1,-1,-1,-1,-1,5,4,-1,-1,3,3
546,13,1,27,1,38,1,0,0,0,0,0,1,3,-1,1,-1,-1,-1,-1,-1,-1,3,1,3,1,3,1,3,1,2,1,2,1
547,9,1,20,1,15,1,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
548,13,1,19,1,60,1,0,0,0,0,0,1,1,2,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,2,2,2,2,1,1,1,1
